10:44:02.923 [ApplicationImpl pooled thread 8] INFO  c.b.l.BrowserStackRunExtension - maven
10:44:02.925 [ApplicationImpl pooled thread 8] INFO  com.browserstack.utils.Helpers - null
10:46:55.238 [ApplicationImpl pooled thread 10] INFO  c.b.l.BrowserStackRunExtension - testng
10:46:55.238 [ApplicationImpl pooled thread 10] INFO  com.browserstack.utils.Helpers - null
10:46:55.239 [ApplicationImpl pooled thread 10] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
10:57:00.461 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - testng
10:57:00.461 [ApplicationImpl pooled thread 18] INFO  com.browserstack.utils.Helpers - null
10:57:00.461 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:00:12.173 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - testng
11:00:12.173 [ApplicationImpl pooled thread 18] INFO  com.browserstack.utils.Helpers - null
11:00:12.174 [ApplicationImpl pooled thread 18] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:01:34.779 [ApplicationImpl pooled thread 23] INFO  c.b.l.BrowserStackRunExtension - testng
11:01:34.779 [ApplicationImpl pooled thread 23] INFO  com.browserstack.utils.Helpers - null
11:01:34.781 [ApplicationImpl pooled thread 23] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:05:45.706 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - testng
11:05:45.707 [ApplicationImpl pooled thread 25] INFO  com.browserstack.utils.Helpers - null
11:05:45.708 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:34:43.466 [ApplicationImpl pooled thread 37] INFO  c.b.l.BrowserStackRunExtension - testng
11:34:43.466 [ApplicationImpl pooled thread 37] INFO  com.browserstack.utils.Helpers - null
11:34:43.467 [ApplicationImpl pooled thread 37] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:35:25.078 [ApplicationImpl pooled thread 37] INFO  c.b.l.BrowserStackRunExtension - testng
11:35:25.078 [ApplicationImpl pooled thread 37] INFO  com.browserstack.utils.Helpers - null
11:35:25.079 [ApplicationImpl pooled thread 37] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:35:55.433 [ApplicationImpl pooled thread 37] INFO  c.b.l.BrowserStackRunExtension - testng
11:35:55.433 [ApplicationImpl pooled thread 37] INFO  com.browserstack.utils.Helpers - null
11:35:55.434 [ApplicationImpl pooled thread 37] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:36:15.577 [ApplicationImpl pooled thread 39] INFO  c.b.l.BrowserStackRunExtension - testng
11:36:15.577 [ApplicationImpl pooled thread 39] INFO  com.browserstack.utils.Helpers - null
11:36:15.578 [ApplicationImpl pooled thread 39] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:39:46.326 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - testng
11:39:46.326 [ApplicationImpl pooled thread 36] INFO  com.browserstack.utils.Helpers - null
11:39:46.327 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:40:48.617 [ApplicationImpl pooled thread 38] INFO  c.b.l.BrowserStackRunExtension - testng
11:40:48.617 [ApplicationImpl pooled thread 38] INFO  com.browserstack.utils.Helpers - null
11:40:48.617 [ApplicationImpl pooled thread 38] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:42:27.067 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - testng
11:42:27.067 [ApplicationImpl pooled thread 36] INFO  com.browserstack.utils.Helpers - null
11:42:27.069 [ApplicationImpl pooled thread 36] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:48:34.034 [ApplicationImpl pooled thread 46] INFO  c.b.l.BrowserStackRunExtension - testng
11:48:34.035 [ApplicationImpl pooled thread 46] INFO  com.browserstack.utils.Helpers - null
11:48:34.036 [ApplicationImpl pooled thread 46] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:54:22.370 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - testng
11:54:22.370 [ApplicationImpl pooled thread 50] INFO  com.browserstack.utils.Helpers - null
11:54:22.371 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:55:22.055 [ApplicationImpl pooled thread 50] INFO  c.b.l.BrowserStackRunExtension - testng
